organoid_id,drug_name,ic50
P9,Lenalidomide,5.775468
P9,Paclitaxel,-3.314372
P9,MK-2206,0.348806
P9,Cisplatin,0.494763
P9,BMS-345541,2.6663665
P9,KU-55933,6.538379
P9,JQ1,-0.416414
P9,Sorafenib,4.1447195
P9,Irinotecan,3.230563
P9,Camptothecin,-2.136992
P9,Fulvestrant,3.5892290000000004
P9,RO-3306,5.461607
P9,JNK Inhibitor VIII,6.341379
P9,GSK269962A,2.651924
P9,Bortezomib,-1.555684
P9,Temozolomide,7.369210499999999
P9,AZD6482,5.5360510000000005
P9,AZ960,2.929119
P25,Mirin,4.7343305
P25,Axitinib,4.807933
P25,Vorinostat,1.169986
P25,5-Fluorouracil,5.4892005
P25,BMS-536924,0.8370579999999999
P25,SGC0946,2.4817375000000004
P25,Obatoclax Mesylate,0.7895015
P25,Oxaliplatin,5.975889499999999
P25,Nilotinib,5.1398175
P25,CHIR-99021,5.460209
P25,SCH772984,0.8899725
P25,Gefitinib,1.0392775
P25,AZD8055,0.1026319999999999
P25,Docetaxel,-1.8434645
P25,BI-2536,-2.5532760000000003
P25,PF-4708671,3.025162
P25,Lenalidomide,4.839044
P25,Paclitaxel,-3.888887
P25,MK-2206,1.202785
P25,Cisplatin,2.1979105
P25,BMS-345541,3.518506
P25,KU-55933,5.530452
P25,JQ1,-0.1755235
P25,Sorafenib,3.59588
P25,Irinotecan,0.8185755
P25,Camptothecin,0.403649
P25,Fulvestrant,3.0976350000000004
P25,RO-3306,5.039069
P25,JNK Inhibitor VIII,5.6804665
P25,GSK269962A,3.155805
P25,Bortezomib,-4.131214
P25,Temozolomide,4.882296999999999
P25,AZD6482,5.535374
P25,AZ960,5.6000055
P11,Mirin,7.9182945
P11,Axitinib,4.5474655
P11,Vorinostat,4.714565
P11,5-Fluorouracil,7.0672025000000005
P11,BMS-536924,3.1730045
P11,SGC0946,2.9636825
P11,Obatoclax Mesylate,1.4412165
P11,Oxaliplatin,6.8774025000000005
P11,Nilotinib,5.001193000000001
P11,CHIR-99021,6.459848
P11,SCH772984,4.430596
P11,Gefitinib,2.9708245
P11,AZD8055,3.2375335
P11,Docetaxel,-0.7545405000000001
P11,BI-2536,1.7674905
P11,PF-4708671,3.593026
P11,Lenalidomide,6.228005
P11,Paclitaxel,-0.8311765
P11,MK-2206,5.5866430000000005
P11,Cisplatin,5.1953475000000005
P11,BMS-345541,5.96535
P11,KU-55933,6.8472495
P11,JQ1,0.6920085
P11,Sorafenib,5.224968
P11,Irinotecan,3.671711
P11,Camptothecin,1.6480609999999998
P11,Fulvestrant,3.4665065
P11,RO-3306,5.2109115
P11,JNK Inhibitor VIII,6.722434499999999
P11,GSK269962A,5.0613790000000005
P11,Bortezomib,-1.744158
P11,Temozolomide,7.586235
P11,AZD6482,6.222969
P11,AZ960,5.943673
P14,Mirin,5.694387
P14,Axitinib,2.7869585
P14,Vorinostat,0.705095
P14,5-Fluorouracil,0.997193
P14,BMS-536924,3.282982
P14,SGC0946,3.122317
P14,Obatoclax Mesylate,-0.428101
P14,Oxaliplatin,6.847087999999999
P14,Nilotinib,3.9750325
P14,CHIR-99021,0.899296
P14,SCH772984,3.917662
P14,Gefitinib,1.689115
P14,AZD8055,3.404862
P14,Docetaxel,-5.554555000000001
P14,BI-2536,-2.342463
P14,PF-4708671,3.898383
P14,Lenalidomide,5.387077
P14,Paclitaxel,-2.26422
P14,MK-2206,3.364634
P14,Cisplatin,-1.0597375
P14,BMS-345541,4.142299
P14,KU-55933,6.192753
P14,JQ1,1.2616255
P14,Sorafenib,4.526713
P14,Irinotecan,0.327386
P14,Camptothecin,-1.9017045
P14,Fulvestrant,3.59786
P14,RO-3306,3.7793945
P14,JNK Inhibitor VIII,4.729018
P14,GSK269962A,2.488646
P14,Bortezomib,-2.020885
P14,Temozolomide,3.944053
P14,AZD6482,4.873632000000001
P14,AZ960,1.09615
P20,Mirin,5.665673
P20,Axitinib,1.1353945
P20,Vorinostat,0.0361935
P20,5-Fluorouracil,3.722653
P20,BMS-536924,1.251221
P20,SGC0946,3.500576
P20,Obatoclax Mesylate,0.408028
P20,Oxaliplatin,6.6746485
P20,Nilotinib,3.4593025
P20,CHIR-99021,1.314875
P20,SCH772984,4.2774790000000005
P20,Gefitinib,0.59068
P20,AZD8055,0.435881
P20,Docetaxel,-0.465273
P20,BI-2536,0.322346
P20,PF-4708671,1.2422780000000002
P20,Lenalidomide,5.5674125
P20,Paclitaxel,-0.8251200000000001
P20,MK-2206,-0.0347229999999999
P20,Cisplatin,0.1444275
P20,BMS-345541,4.250495
P20,KU-55933,6.376702
P20,JQ1,-1.1929824999999998
P20,Sorafenib,1.772809
P20,Irinotecan,5.417643
P20,Camptothecin,-0.805419
P20,Fulvestrant,3.352345
P20,RO-3306,4.6783545
P20,JNK Inhibitor VIII,5.824527
P20,GSK269962A,1.912609
P20,Bortezomib,-0.94458
P20,Temozolomide,7.604575
P20,AZD6482,3.9146085
P20,AZ960,2.897453
P23,Mirin,7.979704499999999
P23,Axitinib,3.570747
P23,Vorinostat,2.0324965
P23,5-Fluorouracil,5.436728499999999
P23,BMS-536924,4.735892
P23,SGC0946,3.2916985
P23,Obatoclax Mesylate,0.6371119999999999
P23,Oxaliplatin,7.160201000000001
P23,Nilotinib,4.551949500000001
P23,CHIR-99021,2.958915
P23,SCH772984,5.637980000000001
P23,Gefitinib,0.8029765
P23,AZD8055,3.0971885
P23,Docetaxel,-1.8646495
P23,BI-2536,-1.409762
P23,PF-4708671,3.2772565
P23,Lenalidomide,5.8458375
P23,Paclitaxel,-1.127843
P23,MK-2206,5.7064235
P23,Cisplatin,0.428466
P23,BMS-345541,5.237786
P23,KU-55933,6.541893999999999
P23,JQ1,0.793116
P23,Sorafenib,3.5845415000000003
P23,Irinotecan,2.800998
P23,Camptothecin,1.5313089999999998
P23,Fulvestrant,3.7126095
P23,RO-3306,5.8255025
P23,JNK Inhibitor VIII,6.291875
P23,GSK269962A,3.402855
P23,Bortezomib,-1.1201335
P23,Temozolomide,7.7761045
P23,AZD6482,5.201859000000001
P23,AZ960,6.0544855
P17,Mirin,6.15962
P17,Axitinib,1.2331675
P17,Vorinostat,1.9424915
P17,5-Fluorouracil,3.984651
P17,BMS-536924,1.3856895
P17,SGC0946,3.416761
P17,Obatoclax Mesylate,-0.314086
P17,Oxaliplatin,5.9217285
P17,Nilotinib,0.9863755
P17,CHIR-99021,3.5856000000000003
P17,SCH772984,1.5257895
P17,Gefitinib,-0.314988
P17,AZD8055,-0.456306
P17,Docetaxel,-4.2324285
P17,BI-2536,-3.0727295000000003
P17,PF-4708671,0.6222795
P17,Lenalidomide,4.157294
P17,Paclitaxel,-2.231521
P17,MK-2206,3.473978
P17,Cisplatin,0.844129
P17,BMS-345541,2.384863
P17,KU-55933,5.1623685
P17,JQ1,-0.0411874999999999
P17,Sorafenib,2.8745195
P17,Irinotecan,3.5672265000000003
P17,Camptothecin,-1.450402
P17,Fulvestrant,4.0645435
P17,RO-3306,3.7218795
P17,JNK Inhibitor VIII,6.0092490000000005
P17,GSK269962A,1.509702
P17,Bortezomib,-2.1431465000000003
P17,Temozolomide,6.33248
P17,AZD6482,4.4935465
P17,AZ960,1.15277
P18,Mirin,9.32241
P18,Axitinib,3.091892
P18,Vorinostat,3.102317
P18,5-Fluorouracil,1.585179
P18,BMS-536924,6.15273
P18,SGC0946,3.97473
P18,Obatoclax Mesylate,0.1500775
P18,Oxaliplatin,7.137925999999999
P18,Nilotinib,3.537554
P18,CHIR-99021,4.141952
P18,SCH772984,5.735272
P18,Gefitinib,2.687871
P18,AZD8055,1.431416
P18,Docetaxel,-3.3364830000000003
P18,BI-2536,-3.155832
P18,PF-4708671,5.68302
P18,Lenalidomide,6.202166
P18,Paclitaxel,-0.194023
P18,MK-2206,4.850569999999999
P18,Cisplatin,3.325932
P18,BMS-345541,4.5210300000000005
P18,KU-55933,4.124285
P18,JQ1,2.4799900000000004
P18,Sorafenib,4.319326
P18,Irinotecan,0.461193
P18,Camptothecin,-1.441967
P18,Fulvestrant,4.721366000000001
P18,RO-3306,5.999698
P18,JNK Inhibitor VIII,7.1344710000000005
P18,GSK269962A,4.19431
P18,Bortezomib,-0.591396
P18,Temozolomide,8.107548
P18,AZD6482,6.105265
P18,AZ960,6.9373
P26,Mirin,8.262491
P26,Axitinib,3.06895
P26,Vorinostat,2.923006
P26,5-Fluorouracil,7.491897
P26,BMS-536924,4.460045
P26,SGC0946,3.184831
P26,Obatoclax Mesylate,0.2201375
P26,Oxaliplatin,7.121575
P26,Nilotinib,3.957956
P26,CHIR-99021,6.9832600000000005
P26,SCH772984,2.426949
P26,Gefitinib,3.209525
P26,AZD8055,2.31835
P26,Docetaxel,-0.398979
P26,BI-2536,-0.4587229999999999
P26,PF-4708671,4.861056
P26,Lenalidomide,5.396861
P26,Paclitaxel,-0.8719049999999999
P26,MK-2206,6.097386
P26,Cisplatin,0.7727430000000001
P26,BMS-345541,3.927273000000001
P26,KU-55933,6.840984
P26,JQ1,1.519198
P26,Sorafenib,3.774189
P26,Irinotecan,2.808201
P26,Camptothecin,-1.164015
P26,Fulvestrant,4.292330000000001
P26,RO-3306,5.716264
P26,JNK Inhibitor VIII,5.95822
P26,GSK269962A,5.577959
P26,Bortezomib,-1.501012
P26,Temozolomide,7.575956
P26,AZD6482,5.726008
P26,AZ960,5.283477
P31,Mirin,8.7357035
P31,Axitinib,5.301769500000001
P31,Vorinostat,2.6524985
P31,5-Fluorouracil,7.180631
P31,BMS-536924,5.718492
P31,SGC0946,3.4669875
P31,Obatoclax Mesylate,3.146579
P31,Oxaliplatin,7.039790999999999
P31,Nilotinib,4.8022225
P31,CHIR-99021,6.758189
P31,SCH772984,5.818289999999999
P31,Gefitinib,3.5500685
P31,AZD8055,5.071218
P31,Docetaxel,-0.35062
P31,BI-2536,3.5669305
P31,PF-4708671,2.637543
P31,Lenalidomide,6.4272290000000005
P31,Paclitaxel,-1.3477635
P31,MK-2206,5.965846
P31,Cisplatin,5.3198240000000006
P31,BMS-345541,6.56752
P31,KU-55933,6.867587500000001
P31,JQ1,1.5359965
P31,Sorafenib,5.772549
P31,Irinotecan,4.7350405
P31,Camptothecin,1.6948545
P31,Fulvestrant,3.9737125
P31,RO-3306,5.386049
P31,JNK Inhibitor VIII,6.418304
P31,GSK269962A,5.953759
P31,Bortezomib,-0.2064439999999999
P31,Temozolomide,7.178346
P31,AZD6482,6.1261615
P31,AZ960,6.5115345
P28,Mirin,6.8981710000000005
P28,Axitinib,2.333466
P28,Vorinostat,1.165934
P28,5-Fluorouracil,3.237331
P28,BMS-536924,2.370793
P28,SGC0946,2.482344
P28,Obatoclax Mesylate,-0.902925
P28,Oxaliplatin,5.115634
P28,Nilotinib,4.540868
P28,CHIR-99021,4.019845
P28,SCH772984,1.351838
P28,Gefitinib,0.320525
P28,AZD8055,1.463794
P28,Docetaxel,-1.8772
P28,BI-2536,-1.198485
P28,PF-4708671,4.14229
P28,Lenalidomide,5.310797
P28,Paclitaxel,-2.984388
P28,MK-2206,2.168575
P28,Cisplatin,-0.598817
P28,BMS-345541,3.781271
P28,KU-55933,6.070118
P28,JQ1,0.739978
P28,Sorafenib,2.903462
P28,Irinotecan,3.297346
P28,Camptothecin,-0.5174489999999999
P28,Fulvestrant,4.077155
P28,RO-3306,2.887505
P28,JNK Inhibitor VIII,6.685667
P28,GSK269962A,3.0988740000000004
P28,Bortezomib,-1.514772
P28,Temozolomide,7.334636
P28,AZD6482,4.805663
P28,AZ960,3.3941830000000004
P7,Mirin,5.457000000000001
P7,Axitinib,0.896709
P7,Vorinostat,0.7523270000000001
P7,5-Fluorouracil,3.056864
P7,BMS-536924,3.370942
P7,SGC0946,3.262614
P7,Obatoclax Mesylate,0.3815285
P7,Oxaliplatin,7.118264
P7,Nilotinib,4.468407
P7,CHIR-99021,6.114301
P7,SCH772984,-0.051897
P7,Gefitinib,0.309613
P7,AZD8055,-0.237625
P7,Docetaxel,-4.662909
P7,BI-2536,-2.503286
P7,PF-4708671,1.831557
P7,Lenalidomide,4.218127
P7,Paclitaxel,-4.090984
P7,MK-2206,0.244279
P7,Cisplatin,2.384054
P7,BMS-345541,5.271962
P7,KU-55933,4.831074
P7,JQ1,-0.7014600000000001
P7,Sorafenib,1.986489
P7,Irinotecan,0.6880649999999999
P7,Camptothecin,-2.780088
P7,Fulvestrant,4.043264
P7,RO-3306,5.383979
P7,JNK Inhibitor VIII,6.399108999999999
P7,GSK269962A,2.426425
P7,Bortezomib,-6.199514
P7,Temozolomide,7.217919
P7,AZD6482,2.021225
P7,AZ960,0.396354
